,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
1073,1073,321,Minnesota,106,210,Charlotte,113,-260,222.0,223.0,-3.0,-6.0,M106C113,-7,0.7222,0.3226,1439.7461512327322,1464.468573062838,0.5591,0.44089999999999996,-1.4741992203533658,4.525800779646634,0.3732,0.05407,Minnesota,-5.525800779646634,-1,-1,1.0,58.61442855278727
1074,1074,321,Denver,113,-400,Washington,108,300,228.5,229.5,5.0,8.5,D113W108,5,0.25,0.8,1445.0820298530869,1625.0597288634121,0.3416,0.6584,4.070632107511618,-4.429367892488382,0.6241,-0.05265249999999995,,0.9293678924883819,1,-1,0.0,61.42006146131057
1075,1075,321,Utah,114,-330,Atlanta,117,260,228.0,226.0,7.5,7.5,U114A117,-3,0.2778,0.7674,1378.7305991142562,1601.564441490974,0.2885,0.7115,5.601208656311355,-1.8987913436886448,0.5539000000000001,-0.01579750000000001,,-8.601208656311355,-1,-1,0.0,62.30213729852425
1076,1076,321,Dallas,100,350,Sacramento,116,-450,230.5,228.5,-6.5,-9.0,D100S116,-16,0.8182,0.2222,1462.2850141566453,1400.7175419179243,0.6758,0.32420000000000004,-4.55598115138289,4.44401884861711,0.37549999999999994,0.05286249999999999,Dallas,-11.444018848617109,-1,-1,1.0,59.00869056558101
1077,1077,321,Detroit,118,-300,Phoenix,98,240,218.5,217.5,5.5,7.0,D118P98,20,0.2941,0.75,1342.0066815920884,1520.9297151160886,0.343,0.657,4.032965483000006,-2.967034516999994,0.5839,-0.03154749999999997,,15.967034516999995,1,1,1.0,57.147113899963344
1078,1078,321,Indiana,89,500,GoldenState,112,-700,220.5,218.5,-11.0,-10.5,I89G112,-23,0.875,0.1667,1652.1006726324993,1547.7673117478275,0.7272,0.27280000000000004,-6.0833343173097045,4.4166656826902955,0.3762,0.052495000000000035,Indiana,-16.916665682690294,-1,-1,1.0,54.14717615578476
1079,1079,322,Memphis,119,500,Orlando,123,-700,208.5,205.5,-5.0,-10.5,M119O123,-4,0.875,0.1667,1488.2926050463543,1427.5832904690278,0.6747,0.32530000000000003,-4.525332663475946,5.974667336524054,0.3348,0.07423000000000002,Memphis,0.5253326634759459,1,1,0.0,57.80112605218831
1080,1080,322,Denver,111,-900,NewYork,93,600,214.5,215.0,11.5,11.5,D111N93,18,0.1429,0.9,1272.424929548436,1631.892015899164,0.1559,0.8441,10.48096736966886,-1.0190326303311394,0.529,-0.0027249999999999887,,7.519032630331139,1,1,1.0,57.643617983696096
1081,1081,322,LAClippers,110,-300,Cleveland,108,240,228.0,226.5,7.0,6.5,L110C108,2,0.2941,0.75,1362.642303969168,1566.3857087503618,0.3115,0.6885,4.919407313614061,-1.5805926863859394,0.5448999999999999,-0.011072499999999947,,-2.9194073136140606,-1,-1,0.0,58.22385340199107
1082,1082,322,OklahomaCity,116,115,Toronto,109,-135,226.5,225.0,-2.5,-2.0,O116T109,7,0.5745,0.4651,1640.1246838720401,1542.1665010387812,0.7199,0.2801,-5.855649386902103,-3.855649386902103,0.6085,-0.04446250000000002,,12.855649386902103,1,1,1.0,55.635075320105045
